,Class 0: Selective,Class 1: Pure Hemolytic,Class 2: Both Active/Toxic,Class 3: Inactive
GW,0.0022878945465496636,0.0012858213270860999,0.00021813468328858935,0.0017208572676396666
GY,0.0,0.0,0.0,0.0
GearyAuto_FreeEnergy11,0.00034856942148739605,0.0033226986827466936,0.0030202283939142903,0.008825942746814251
GearyAuto_FreeEnergy7,0.0001278170356841728,7.766237733630898e-05,2.1223652368309407e-05,8.606122487706069e-05
GearyAuto_FreeEnergy8,0.000414273056438942,0.000997938949703408,0.00424310378980271,0.005241854511896185
GearyAuto_Hydrophobicity6,0.0009133865339414104,0.0013710701662801943,1.959329898740721e-05,5.779618472320424e-05
GearyAuto_Mutability5,0.0023971661553330347,0.002060284839667077,0.0,0.00014153059312248085
GearyAuto_Polarizability3,0.0003474956664113816,2.929796174441271e-05,0.0042473304041814415,0.00011822653818084672
GearyAuto_ResidueVol7,0.0016888351418293229,0.00037463289552891243,0.0014001042715416701,0.0006754231904572001
HA,0.00028381509372328573,0.001531748586897087,0.0011753310162411898,0.0031772967212728683
HC,0.0,0.0,0.0,0.0
HE,0.0,0.0,0.0,0.0
HF,0.00033488354125065797,0.00015394026930540229,0.0,0.00018532837556345779
HH,0.0004878563324046903,0.0007390709964908433,0.0005280706393705528,0.0
HI,0.00040753968906399055,0.0006035173365157275,0.0005780790663311109,0.0010858406216460305
HM,0.0010279032701208163,0.0005159632612798379,0.0011160637078256516,0.00044102954890635777
HT,0.00011302275527559877,0.0003259797943942629,0.00023744278539196236,0.0005013313339511327
IF,0.0019370357613177369,0.004317626068881899,0.002542656272316329,0.00878187362628088
IH,0.0006289763732238741,0.0,0.0010164886051022156,0.0
IK,0.004237725364113485,0.0004143580605056085,0.0009907121184980093,0.000654369453750924
IL,0.0004707255091377611,0.00037123988192226925,1.5352653589005245e-05,0.0
IP,0.0008959755211182662,0.001611531956227003,0.0007302659588192237,0.00021810534880607375
IQ,0.0011674868278004752,3.520005857543644e-05,0.0003184380512131487,0.0010754203303560486
IT,0.003785480715714973,0.0017073271162455354,0.0012913646866216527,0.0026987439922210995
IY,0.0010548679212722195,0.0008950356131561685,0.0011411531420018315,0.0021103194078192027
KD,0.0020305756699785602,0.0,0.00032045201177256235,0.0020856059456890647
KE,0.0013556498759985216,0.0007933821495555976,0.0007082093142634442,0.0017550884189547302
KK,0.004351020854745908,0.000896795345705319,0.0006792392265793946,0.0
KM,0.00037830185454487117,0.0004895107517238057,0.0,0.0010982800119197912
KW,0.0032095274549391924,0.0,0.0,0.002636530356149959
L,0.001370758761203466,0.010739747277034022,0.0009427617795089592,0.007510436954709374
LC,0.0018453215089578997,0.0010379814962131367,0.0010011902312167262,0.000792466154129944
LH,0.0006869749890763071,0.0004961239402178117,0.000526617145356943,0.0
LI,0.0020192138172316723,0.0011220731379037068,0.00016188950072654518,0.00394514014246072
LP,0.0005311013200028223,0.0007647297852951647,0.003106289676803334,0.0035784182478957567
LR,0.0030954511236502232,0.001550334738911264,0.001668446103649299,0.0
LV,0.003918847968516029,0.004169773621323364,0.00031054121765000637,0.0009924626989408574
LW,0.000668081415329224,0.0010298930998791586,0.0011087110224382163,0.0024271414248575444
ML,0.0001824130541116073,0.0009526477547497048,0.00026279383924437125,0.0010330657036177
MN,0.00040959653101919273,5.717421664761893e-05,0.0,0.0004688152765323512
MP,0.0009345330146491032,0.00012876804475140467,3.3664436667934445e-05,0.0011184787196255608
MoranAuto_AvFlexibility1,0.0001515186955406211,0.002464250117553876,0.001020593089604206,0.0
MoranAuto_FreeEnergy12,0.0005346937733447715,0.00296472398963912,0.0005920790216875752,0.003968210101846917
MoranAuto_FreeEnergy3,0.010227406324286304,0.0,0.00446156785122954,0.013979326671427749
MoranAuto_Hydrophobicity4,0.0007584635924436574,0.0,0.004137510704645987,0.0038331329407780977
MoranAuto_Hydrophobicity7,0.00527786043995619,0.0006270979463201937,1.0396632279481008e-05,0.005763494649854916
MoranAuto_Mutability1,8.888079600624885e-05,8.57915019133535e-05,0.0002754059833267655,5.376636953881478e-05
MoranAuto_Mutability10,0.00360188356043424,0.002933935183041831,0.0009474447498483768,0.0004546371335341256
